,product_id,discounted_price,actual_price
6365,B00P93X2H6,,75.0
6373,B0798PJPCL,,
6381,B09GFWJDY1,499.0,
6389,B09MZ6WZ6V,499.0,
6397,B094QZLJQ6,5799.0,
6405,B07L3NDN24,,799.0
6413,B08WD18LJZ,,600.0
6429,B06XDKWLJH,,5734.0
6437,B01J1CFO5I,,550.0
6445,B07J2NGB69,629.0,
6453,B00MUTWLW4,,3295.0
6469,B017NC2IPM,1799.0,
6477,B00N1U7JXM,,175.0
6485,B08HQL67D6,,599.0
6493,B09RKFBCV7,,7999.0
6501,B08KHM9VBJ,,3250.0
6509,B01IOZUHRS,,499.0
6517,B00CEQEGPI,1345.0,
6525,B08B6XWQ1C,,995.0
6533,B01DGVKBC6,,499.0
6549,B08JD36C6H,,450.0
6557,B00E3DVQFS,,1109.0
6573,B00BN5SNF0,,250.0
6581,B09SGGRKV8,,499.0
6605,B084BR3QX8,,999.0
6613,B09VC2D2WG,469.0,
6621,B09163Q5CD,1187.0,
6629,B08K9PX15C,849.0,
6637,B083RD1J99,328.0,
